FF125,6sigma value,vgn,ids,igidl,igtot,,,,vgp,ids,igidl,igtot
VDD=0.77,vds=vdd,0,1.01E-08,1.32E-10,-3.47E-12,,,,0,-2.20E-05,-5.86E-44,-8.90E-12
,nswnfetpd,0.11,1.71E-07,2.38E-11,-2.24E-12,,,nswpfetpu,0.11,-1.11E-05,-1.23E-22,-5.33E-12
,"igidl, igtot std dv almost 0",0.22,2.00E-06,5.83E-13,-1.26E-12,,,vd=0 vs=vdd,0.22,-3.33E-06,-2.48E-16,-2.96E-12
,(thereby no 6sigma value) ,0.33,1.04E-05,2.94E-19,-4.02E-13,,,(lkg_tb_1),0.33,-4.83E-07,-8.56E-14,-1.49E-12
,vd=vdd vs=0,0.44,2.71E-05,0.00E+00,9.59E-13,,,(workspace 2),0.44,-3.47E-08,-2.15E-12,-2.87E-13
,,0.55,4.61E-05,0.00E+00,2.54E-12,,,,0.55,-1.71E-09,-1.70E-11,9.11E-13
,,0.66,6.62E-05,0.00E+00,4.95E-12,,,,0.66,-7.06E-11,-7.35E-11,1.55E-12
,,0.77,8.62E-05,0.00E+00,8.84E-12,,,,0.77,-3.05E-12,-2.20E-10,2.28E-12
,,,,,,,,,,,,
,,,,,,,,,,,,
,*Note: igidl and igtot std dv is very small -> replaced by MC 1000 result(mean),,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,vg=0,vds,ids,igidl,igtot,,,vg=vdd,vds,ids,igidl,igtot
,,,,,,,,,0,-3.53E-10,-2.19E-10,2.28E-12
,nswnfetpd,0.11,2.06E-10,3.97E-104,-3.81E-14,,,nswpfetpu,0.11,-3.27E-10,-5.63E-11,1.66E-12
,,0.22,2.53E-10,3.12E-103,-1.68E-13,,,,0.22,-3.00E-10,-8.88E-12,1.15E-12
,(lkg_tb),0.33,3.04E-10,1.00E-102,-4.16E-13,,,,0.33,-2.72E-10,-6.55E-13,7.33E-13
,(workspace 4),0.44,3.59E-10,8.96E-20,-8.19E-13,,,,0.44,-2.43E-10,-1.20E-14,4.12E-13
,,0.55,4.21E-10,3.05E-13,-1.42E-12,,,,0.55,-2.13E-10,-1.13E-17,1.83E-13
,,0.66,4.90E-10,1.82E-11,-2.28E-12,,,,0.66,-1.80E-10,-1.25E-24,4.60E-14
,,0.77,5.66E-10,1.32E-10,-3.47E-12,,,,,,,
